sep=;
Frage;Frage_Label;Status;Status_Text;Gezaehlt;BibKey;Seitenbereich;Seitenzahl;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;BibTeX-Seiten;DOI;URL;BibTeX-Annotation;Korpus_Pruefsumme
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;stamm2021fehlenderblick;576--585;10;Stamm, Margrit;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Der fehlende Blick auf begabte Minoritäten: Blinde Flecken der Begabtenförderung;Handbuch Begabung;576–585;;;"10 S. (S. 576–585). Fliesstext-Spanne von Inti verifiziert (KERNLITERATUR\_INTI.md, Frage 1). Anschliessender Beitrag Baum/Schader ab S. 588; S. 586–587 Literaturverzeichnis des Stamm-Beitrags. Teil VIII \enquoteDysfunktionale Begabungsentwicklung.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;stamm2025vonuntennachoben;36--37, 58--62;7;Stamm, Margrit;;2025;Von unten nach oben: Arbeiterkinder und ihre Bildungsaufstiege an das Gymnasium;;;;;"Erscheinungsjahr 2025 (Impressum); Online-Händler führen die Ende Dezember 2024 ausgelieferten Exemplare teilweise als 12/2024. Massgeblich für APA-Zitation ist das Copyright-Jahr im Impressum (2025), verifiziert am physischen Buchexemplar. Fotografien der Seiten 13–129 liegen komprimiert in Literatur/stamm2025vonuntennachoben/ (s013–038, s035–057, s058–079, s080–104, s106–129). Ergänzende Lektüre zu Frage 1 (\enquotebegabte Minoritäten) und Frage 3 (soziale Herkunft, Bildungsgerechtigkeit). B-Korpus, mündlich abrufbar.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;baudson2021wasdenken;115--128;14;Baudson, Tanja Gabriele;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Was Menschen über (Hoch-)Begabung und (Hoch-)Begabte denken: Individuelle und soziokulturelle Perspektiven;Handbuch Begabung;115–129;;;"15 S. (S. 115–129). Seitenspanne von Inti verifiziert (KERNLITERATUR\_INTI.md, Fragen 1, 3, 5); der Scan umfasst die Fliesstext-Seiten 115–128 plus die erste Literaturseite 129. Volltext via OCR (source.pdf, komprimiert 6.7 MB) vorliegend. Gliederung: (1) Begriffliche Abgrenzungen, (2) Erkennen mit IQ-Kritik und Lehrkrafturteil ($\rho = .50$), (3) Hochbegabungs- konzeptionen (Disharmonie-Stereotyp, Cultural Mismatch, Minoritätenstress, Cass-Stufenmodell), (4) Folgerungen für globalisierte Gesellschaft. Schlüsselbeleg für FW1 (Sprache als Identifikationsbarriere, S. 120), FW3 (kultursensible Begabungsdiagnostik, S. 125) und BW4 (Inklusionsdebatte vergisst Begabung, S. 119). Vollständige verified\_quotes.md Status 4 vorliegend.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;muelleroppliger2021begabungsmodelle;204--219;16;Müller-Oppliger, Victor;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabungsmodelle: Entwicklungslinien und Positionen zur Erfassung des Phänomens der Hochbegabung;Handbuch Begabung;204–222;;;"16 S. (S. 204–219, ohne Literaturverzeichnis). Dynamisch-mehrdimensionale Begabungsmodelle: Renzulli (Drei-Ringe), Mönks (Triadisches Interdependenzmodell), Münchner Hochbegabungsmodell (Heller/Perleth), Aktiotop (Ziegler), DMGT (Gagné). Begabung als entwicklungsoffenes Potenzial; Differenzierung Potenzial/Performanz.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;muelleroppliger2021paeddiagnostik;224--235;12;Müller-Oppliger, Salomé;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Pädagogische Diagnostik: Potenzialerfassung und Förderdiagnostik;Handbuch Begabung;224–238;;;"ca. 15 S. Phasenmodell vermuten/wahrnehmen/erkennen; Meeraugenprinzip; Förder- vs. Statusdiagnostik.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;gauckreimann2021psychdiagnostik;239--249;11;"Gauck, Letizia; Reimann, Giselle";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Psychologische Diagnostik in der Begabungs- und Begabtenförderung;Handbuch Begabung;239–251;;;"ca. 13 S. Vier-Schritte-Prozess; Deckeneffekt; Aisha-/Lea-Vignetten (deutschsprachiger Fallbeleg für Unteridentifikation).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;haag2018leistungsstanddiagnostik;153--165, 187--188;15;"Haag, Nicole; Heppt, Birgit; Schipolowski, Stefan";"Maehler, Débora B.; Shajek, Alexandra; Brinkmann, Heinz Ulrich";2018;Leistungsstanddiagnostik;Diagnostik bei Migrantinnen und Migranten: Ein Handbuch;150–196;;;;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;kellerkoller2025hellekoepfe;76--78;3;Keller-Koller, Isabella;Huser, Joëlle;2025;Helle Köpfe mit Migrationshintergrund: warum sie oft unerkannt bleiben;Lichtblick für helle Köpfe: Ein Wegweiser zur Erkennung und Förderung von hohen Fähigkeiten bei Kindern und Jugendlichen auf allen Schulstufen;76–78;;;"3 S. (S. 76–78). Aus der 3. Aufl. 2025 (Ausgabe 2021) des Handbuchs; Kapitel neu gegenüber der 1. Aufl. 2004 (vgl. Lehrmittelverlag Zürich: ""3. Auflage 2025, Ausgabe 2021""). BibKey zu Konsistenzgründen beibehalten.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;baumschader2021twice;588--598;11;"Baum, Susan; Schader, Robin";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;\enquoteTwice Exceptionality – in zweifacher Hinsicht aussergewöhnlich: Geschichte, Charakteristika und Möglichkeiten erfolgreichen Lernens;Handbuch Begabung;588–600;;;13 S. (S. 588–600). Schlussbeitrag im Teil VIII \enquoteDysfunktionale Begabungsentwicklung des Handbuchs Begabung. Historische Entwicklung des 2e-Konzepts, Charakteristika und Lernbedingungen. Volltext verfügbar via teil8\_dysfunktionale\_begabungsentwicklung.md in baumschader2021twice/.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F1;Frage 1 (FW, KS/DG: Erkennen);K;Kernliteratur;ja;koop2025herkunft;68;1;Koop, Christine;Pauly, Claudia;2025;Die Herkunft entscheidet zu oft über die Chancen;Was ist fair? Begabungsgerechtigkeit auf dem Prüfstand;64–69;10.25656/01:33972;;"6 S. (S. 64–69). Erg\""anzende Transferliteratur, Frage 1 und Frage 4. Diagnostikfairness: auch nonverbale Tests sind nicht automatisch gerecht. F\""orderung als diagnostische Gelegenheit lesen (S. 68: \""15–20% ausw\""ahlen, F\""orderung liefert diagnostische Erkenntnisse\""). Verifiziert via pdf\_extract.py. Open Access via pedocs.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
