sep=;
Kategorie;BibKey;Eintragstyp;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;Auflage;Band;Heft;Seiten;Verlag;Ort;Institution;Schriftenart;Reihe;DOI;URL;Zugriffsdatum;Anmerkung;Umfangshinweis
Frage 1: Erkennen;stamm2021fehlenderblick;incollection;Stamm, Margrit;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Der fehlende Blick auf begabte Minoritäten: Blinde Flecken der Begabtenförderung;Handbuch Begabung;;;;576–588;Beltz;Weinheim;;;;;;;;ca. 15 S.
Frage 1: Erkennen;kellerkoller2021hellekoepfe;incollection;Keller-Koller, Irène;Huser, Joëlle;2021;Helle Köpfe mit Migrationshintergrund;Lichtblick für helle Köpfe: Ein Wegweiser zur Erkennung und Förderung von hohen Fähigkeiten bei Kindern und Jugendlichen auf allen Schulstufen;;;;XXX–XXX;Lehrmittelverlag des Kantons Zürich;Zürich;;;;;;;;ca. 20 S.
Frage 1: Erkennen;kellerkoller2009begabte;thesis;Keller-Koller, Irène;;2009;Begabte mit Migrationshintergrund: Rahmenbedingungen und Erkennung;;;;;;;;Fachhochschule Nordwestschweiz;Masterarbeit;;;;;;
Frage 1: Erkennen;maehler2018diagnostik;book;;"Maehler, Débora B.; Shajek, Alexandra; Brinkmann, Heinz Ulrich";2018;Diagnostik bei Migrantinnen und Migranten: Ein Handbuch;;;;;;Hogrefe;Göttingen;;;;;;;;Kap. 1–3, 9–10: ca. 80 S.
Frage 1: Erkennen;preckel2013hochbegabung;book;"Preckel, Franzis; Baudson, Tanja Gabriele";;2013;Hochbegabung: Erkennen, Verstehen, Fördern;;;;;;C. H. Beck;München;;;;;;;;Kap. 1–2 (Erkennen, Verstehen): ca. 40 S.
Frage 1: Erkennen;muelleroppliger2021handbuch;book;;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Handbuch Begabung;;;;;;Beltz;Weinheim;;;;;;;;Kap. Begabungsbegriff, Diagnostik, SEM, Enrichment, Inklusion: ca. 80 S. (verteilt auf Fr. 1 und 4)
Frage 1: Erkennen;trautmann2016einfuehrung;book;Trautmann, Thomas;;2016;Einführung in die Hochbegabtenpädagogik;;3;;;;Schneider Hohengehren;Baltmannsweiler;;;;;;;;Kap. 1–2: ca. 40 S.
Frage 1: Erkennen;reutlinger2015hochbegabung;book;"Reutlinger, Marold; Leana-Tascilar, Marilena; Ziegler, Albert";;2015;Hochbegabung und Migrationshintergrund: Informationen für Eltern und Pädagogen von Kindern mit Migrationshintergrund;;;;;;Friedrich-Alexander-Universität Erlangen-Nürnberg;Erlangen;;;;;https://www.edupsy.phil.fau.de/;;;ca. 15 S.
Frage 1: Erkennen;ipege2009professionelle;book;;iPEGE – International Panel of Experts for Gifted Education;2009;Professionelle Begabtenförderung: Empfehlungen zur Qualifizierung von Fachkräften in der Begabtenförderung;;;;;;özbf;Salzburg;;;;;https://www.oezbf.at/wp-content/uploads/2017/09/iPEGE_1_web.pdf;;;Kap. Diagnostik: ca. 20 S.
Frage 1: Erkennen;uslucan2012begabung;online;Uslucan, Haci-Halil;;2012;Begabung und Migration;;;;;;;;;;;;https://mediendienst-integration.de/fileadmin/Dateien/Uslucan_-_Vortrag_zu_Begabung_-_Daten_und_Fakten.pdf;;Vortrag, Münster, 13. September 2012;
Frage 1: Erkennen;stamm2014handbuch;book;;Stamm, Margrit;2014;Handbuch Talententwicklung: Theorien, Methoden und Praxis in Psychologie und Pädagogik;;;;;;Huber;Bern;;;;;;;;Kap. zu Underachievement, Migration, Diagnostik: ca. 40 S.
